org,name,position,date,district
NAPABA,Tana Lin,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
NAPAWF,Tana Lin,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
NAPAWF,Tana Lin,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
NLADA,Tana Lin,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
NLADA,Tana Lin,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Randy Hertz,Tana Lin,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Randy Hertz,Tana Lin,united states district judge for the western district of washington,"Wednesday, June 9, 2021", western district of washington
Judge Dyk Law Clerks,Tiffany P. Cunningham,united states district judge for the district of new mexico,"Wednesday, May 26, 2021", district of new mexico
Former Law Clerks,Tiffany P. Cunningham,united states district judge for the district of new mexico,"Wednesday, May 26, 2021", district of new mexico
Former Federal Circuit Law Clerks,Tiffany P. Cunningham,united states district judge for the district of new mexico,"Wednesday, May 26, 2021", district of new mexico
IPLAC,Tiffany P. Cunningham,united states district judge for the district of new mexico,"Wednesday, May 26, 2021", district of new mexico
NCJW,Tiffany P. Cunningham,united states district judge for the district of new mexico,"Wednesday, May 26, 2021", district of new mexico
IIPSJ,Tiffany P. Cunningham,united states district judge for the district of new mexico,"Wednesday, May 26, 2021", district of new mexico
Center For Court Innovation,Julien Xavier Neals,united states district judge for the district of new jersey,"Wednesday, April 28, 2021", district of new jersey
NJSBA,Julien Xavier Neals,united states district judge for the district of new jersey,"Wednesday, April 28, 2021", district of new jersey
Volunteer Lawyers For Justice,Julien Xavier Neals,united states district judge for the district of new jersey,"Wednesday, April 28, 2021", district of new jersey
NAPABA,Zahid N. Quraishi,united states district judge for the district of new jersey,"Wednesday, April 28, 2021", district of new jersey
AI ISNA MPAC,Zahid N. Quraishi,united states district judge for the district of new jersey,"Wednesday, April 28, 2021", district of new jersey
APALA-NJ,Zahid N. Quraishi,united states district judge for the district of new jersey,"Wednesday, April 28, 2021", district of new jersey
Federal Bar NJ,Zahid N. Quraishi,united states district judge for the district of new jersey,"Wednesday, April 28, 2021", district of new jersey
Major General Stuart Risch DJAG,Zahid N. Quraishi,united states district judge for the district of new jersey,"Wednesday, April 28, 2021", district of new jersey
NJMLA,Zahid N. Quraishi,united states district judge for the district of new jersey,"Wednesday, April 28, 2021", district of new jersey
NJSBA,Zahid N. Quraishi,united states district judge for the district of new jersey,"Wednesday, April 28, 2021", district of new jersey
SABA NJ,Zahid N. Quraishi,united states district judge for the district of new jersey,"Wednesday, April 28, 2021", district of new jersey
Board Of Directors DSST Public Schools,Regina M. Rodriguez,united states district judge for the district of colorado,"Wednesday, April 28, 2021", district of colorado
CO Sam Cary Bar Association,Regina M. Rodriguez,united states district judge for the district of colorado,"Wednesday, April 28, 2021", district of colorado
Colorado Lawyers Committee,Regina M. Rodriguez,united states district judge for the district of colorado,"Wednesday, April 28, 2021", district of colorado
Janet Perlstein,Regina M. Rodriguez,united states district judge for the district of colorado,"Wednesday, April 28, 2021", district of colorado
Latinas First Foundation,Regina M. Rodriguez,united states district judge for the district of colorado,"Wednesday, April 28, 2021", district of colorado
Mairead Dolan,Regina M. Rodriguez,united states district judge for the district of colorado,"Wednesday, April 28, 2021", district of colorado
Margit And John Henderson,Regina M. Rodriguez,united states district judge for the district of colorado,"Wednesday, April 28, 2021", district of colorado
Seven Former Bipartisan USAs,Regina M. Rodriguez,united states district judge for the district of colorado,"Wednesday, April 28, 2021", district of colorado
Three Colorado Trial Lawyers,Regina M. Rodriguez,united states district judge for the district of colorado,"Wednesday, April 28, 2021", district of colorado
NAPABA,Regina M. Rodriguez,united states district judge for the district of colorado,"Wednesday, April 28, 2021", district of colorado
