org,name,position,date,district
PA Commission On Crime And Delinquency,Kelley Brisbon Hodge,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
Deputy Dir. Of Human Relations,Kelley Brisbon Hodge,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
Former Chancellor Of PBA,Kelley Brisbon Hodge,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
PA DA Association,Kelley Brisbon Hodge,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
VA Defender,Kelley Brisbon Hodge,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
UVA Professor Robinson,Kelley Brisbon Hodge,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
Colleague,John Frank Murphy,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
Former Co-Counsel,John Frank Murphy,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
Former Federal Circuit Clerks,John Frank Murphy,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
Law Professor,John Frank Murphy,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
TACT Owner,Mia Roberts Perez,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
"""Barristers Association""",Mia Roberts Perez,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
Temple Law,Mia Roberts Perez,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
PA Legal Community,Mia Roberts Perez,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
Defender Association Of Philadelphia,Mia Roberts Perez,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
Temple Faculty,Mia Roberts Perez,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
Philadelphia Bar Association,Mia Roberts Perez,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
AFJ,Mia Roberts Perez,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
Former Clerks And Interns,Mia Roberts Perez,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
Former Federal Prosecutors,Mia Roberts Perez,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
Former Temple Students,Mia Roberts Perez,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
PA Criminal Defense Attorneys,Mia Roberts Perez,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
PA Hispanic Legal Community,Mia Roberts Perez,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
"""Philadelphia DAs Office""",Mia Roberts Perez,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
Mont Co Sheriff,Mia Roberts Perez,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
APABA-PA,Mia Roberts Perez,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
Former Prosecutors,Kai N. Scott,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
"""Barristers Association""",Kai N. Scott,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
Temple Law,Kai N. Scott,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
Former Law Clerks,Kai N. Scott,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
Philadelphia Bar Association,Kai N. Scott,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
Criminal And Public Defender,Kai N. Scott,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
Former Federal Prosecutors,Kai N. Scott,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
Mentee,Kai N. Scott,united states district judge for the eastern district of pennsylvania,"Wednesday, September 7, 2022", eastern district of pennsylvania
Former Federal Prosecutors,Jerry W. Blackwell,united states district judge for the district of minnesota,"Wednesday, July 27, 2022", district of minnesota
NOBLE,Jerry W. Blackwell,united states district judge for the district of minnesota,"Wednesday, July 27, 2022", district of minnesota
Current And Former Police Chiefs,Jerry W. Blackwell,united states district judge for the district of minnesota,"Wednesday, July 27, 2022", district of minnesota
NAWL,Anne M. Nardacci,united states district judge for the northern district of new york,"Wednesday, July 27, 2022", northern district of new york
NY Bar Association,Anne M. Nardacci,united states district judge for the northern district of new york,"Wednesday, July 27, 2022", northern district of new york
Former AUSAs And Terwilliger,Elizabeth Wilson Hanes,united states district judge for the eastern district of virginia,"Wednesday, June 22, 2022", eastern district of virginia
Former Opposing Counsel,Elizabeth Wilson Hanes,united states district judge for the eastern district of virginia,"Wednesday, June 22, 2022", eastern district of virginia
Adam Hoeflich,Ana C. Reyes,united states district judge for the district of columbia,"Wednesday, June 22, 2022", district of columbia
HBA DC,Ana C. Reyes,united states district judge for the district of columbia,"Wednesday, June 22, 2022", district of columbia
Williams & Connolly Partners And Senior Counsel,Ana C. Reyes,united states district judge for the district of columbia,"Wednesday, June 22, 2022", district of columbia
Justin Dillon,Ana C. Reyes,united states district judge for the district of columbia,"Wednesday, June 22, 2022", district of columbia
Professor Richard Fallon,Ana C. Reyes,united states district judge for the district of columbia,"Wednesday, June 22, 2022", district of columbia
WBA-DC,Ana C. Reyes,united states district judge for the district of columbia,"Wednesday, June 22, 2022", district of columbia
President Of Transylvania University Brien Lewis,Ana C. Reyes,united states district judge for the district of columbia,"Wednesday, June 22, 2022", district of columbia
David Aufhauser And Whitten Peters,Ana C. Reyes,united states district judge for the district of columbia,"Wednesday, June 22, 2022", district of columbia
